"ASIN","Result","Brand"
"B0D6W6KVD2","OK",""
"B0D6YGNQ1R","OK",""
"B0D733VHX3","OK",""
"B0D737XTT2","NG",""
"B0D73WBM24","APPROVAL",""
"B0D7745S6K","OK",""
"B0D7755HT4","OK",""
"B0D77WXS5L","NG",""
"B0D78GFVM5","NG",""
"B0D78GH952","NG",""
"B0D78H48J9","APPROVAL",""
"B0D78WFM3X","NG",""
"B0D79DBTM6","APPROVAL",""
"B0D7C81WW2","NG",""
"B0D7HC2BK2","NG",""
"B0D7HQJNGT","OK",""
"B0D7HRRLF6","NG",""
"B0D7HTWS94","NG",""
"B0D7HYNSCB","NG",""
"B0D7L1K59D","APPROVAL",""
"B0D7L5DL1Z","APPROVAL",""
"B0D7LYMRC5","APPROVAL",""
"B0D7MCFY9F","NG",""
"B0D7MHM74L","NG",""
"B0D7MKL21W","NG",""
"B0D7MKQHH3","NG",""
"B0D7P48M5R","OK",""
"B0D7P4KBN1","OK",""
"B0D7P4SDMP","OK",""
"B0D7P568KP","OK",""
"B0D7P56CVN","OK",""
"B0D7P56MQP","OK",""
"B0D7P573Y3","OK",""
"B0D7P57DSW","OK",""
"B0D7P5822B","OK",""
"B0D7P5C2XT","OK",""
"B0D7P5F2CP","OK",""
"B0D7P5M2GV","OK",""
"B0D7P5N6K8","OK",""
"B0D7P5PSVF","OK",""
"B0D7P5Q22C","OK",""
"B0D7P5XVKD","OK",""
"B0D7P5ZS3W","OK",""
"B0D7P64HGQ","OK",""
"B0D7P6CVH4","OK",""
"B0D7P6TTCB","OK",""
"B0D7P6ZZ41","OK",""
"B0D7P717S8","OK",""
"B0D7P7414X","OK",""
"B0D7P77ZS1","OK",""
"B0D7P7T2XJ","OK",""
"B0D7P824ZG","OK",""
"B0D7P86S5T","OK",""
"B0D7P8QHTN","OK",""
"B0D7P96KQT","OK",""
"B0D7PJT79G","OK",""
"B0D7PSXHHR","NG",""
"B0D7PV223Y","APPROVAL",""
"B0D7Q43B53","NG",""
"B0D7Q4Q4HX","OK",""
"B0D7RB2G97","NG",""
"B0D7RGYM3N","NG",""
"B0D7SF1L12","APPROVAL",""
"B0D7VB4SVK","OK",""
"B0D7VS5CVV","NG",""
"B0D7VSF6RP","NG",""
"B0D7W5C311","NG",""
"B0D81K35D7","OK",""
"B0D81K4GTP","OK",""
"B0D836FK4Z","APPROVAL",""
"B0D83QLQHH","OK",""
"B0D8635WJ3","OK",""
"B0D867SH29","OK",""
"B0D869D261","OK",""
"B0D86C68KF","OK",""
"B0D86GC9BM","OK",""
"B0D86GFKWL","OK",""
"B0D86HJBZX","OK",""
"B0D86JHKDY","NG",""
"B0D86K1945","OK",""
"B0D86Q1TZ5","OK",""
"B0D86QD3TD","OK",""
"B0D86S61S8","OK",""
"B0D86XNSCQ","APPROVAL",""
"B0D87178P3","OK",""
"B0D89JP48Z","OK",""
"B0D8HFD8SJ","OK",""
"B0D8HT988J","OK",""
"B0D8KBBVHT","OK",""
"B0D8KBW3RL","OK",""
"B0D8KCLZXW","OK",""
"B0D8KCY4RC","OK",""
"B0D8KDCYYP","OK",""
"B0D8KM16GH","OK",""
"B0D8KRFBL8","NG",""
"B0D8KSD826","OK",""
"B0D8NP13RG","OK",""
"B0D8NTPJKY","OK",""
"B0D8PHRNB1","OK",""
"B0D8SBV4PH","OK",""
"B0D8SBWN8G","OK",""
"B0D8SVNL1Q","OK",""
"B0D8TYC9KR","OK",""
"B0D8VHRHR6","OK",""
"B0D8VJ9WXL","OK",""
"B0D8WGWMVS","OK",""
"B0D8WN99DT","OK",""
"B0D8YYRNZY","NG",""
"B0D91LBL2Y","OK",""
"B0D93DNDYY","OK",""
"B0D93LRDNC","NG",""
"B0D9425M55","NG",""
"B0D95DD5VH","OK",""
"B0D95K92BC","NG",""
"B0D95KJWFH","NG",""
"B0D95TNWXW","OK",""
"B0D95X497X","OK",""
"B0D975PRTT","NG",""
"B0D97R4T4J","OK",""
"B0D9B8T9FP","APPROVAL",""
"B0D9GHBSJP","OK",""
"B0D9JZ4VB3","NG",""
"B0D9K1HGNT","NG",""
"B0D9K1WDLM","NG",""
"B0D9LB6ZJ2","OK",""
"B0D9LNCSS7","NG",""
"B0D9LSWK3M","APPROVAL",""
"B0D9LTWP3N","APPROVAL",""
"B0D9MHZYTH","OK",""
"B0D9MJXZW4","OK",""
"B0D9MPHY45","OK",""
"B0D9N6Y18G","APPROVAL",""
"B0D9NPBKRH","NG",""
"B0D9NZDLDR","NG",""
"B0D9QBCTYY","OK",""
"B0D9R924KM","APPROVAL",""
"B0D9VZ4QQY","NG",""
"B0D9W2KZ82","NG",""
"B0D9YBJC7F","NG",""
"B0DB1XSQ9Q","NG",""
"B0DB1YVKCC","NG",""
"B0DB21RWFD","NG",""
"B0DB222JMS","NG",""
"B0DB2X31TM","APPROVAL",""
"B0DB2XXP1X","APPROVAL",""
"B0DB2Y8YQH","APPROVAL",""
"B0DB2YJ8BT","APPROVAL",""
"B0DB397FD9","APPROVAL",""
"B0DB3BS78T","APPROVAL",""
"B0DB6H3NY5","OK",""
"B0DB7CL4TY","OK",""
"B0DB7HJ14L","OK",""
"B0DB7JS2L8","NG",""
"B0DB83V56P","NG",""
"B0DB8KW1TH","OK",""
"B0DBF842T8","OK",""
"B0DBKHMX3K","OK",""
"B0DBKL95S6","OK",""
"B0DBKQ23S8","OK",""
"B0DBKS5TDM","OK",""
"B0DBKW53G7","OK",""
"B0DBKY4VV7","OK",""
"B0DBL2HB73","OK",""
"B0DBL338S5","OK",""
"B0DBL83NZM","APPROVAL",""
"B0DBNYJDLS","OK",""
"B0DBP9CJGB","OK",""
"B0DBQBP1RX","OK",""
"B0DBQD534V","OK",""
"B0DBQDT17H","OK",""
"B0DBTT17HJ","OK",""
"B0DBV6HKB2","OK",""
"B0DBY6QQ5Q","NG",""
"B0DBY9V21S","NG",""
"B0DC31VPT6","OK",""
"B0DC6BX8CD","OK",""
"B0DC6C1VMV","OK",""
"B0DC6C3D88","OK",""
"B0DC6C7BGT","OK",""
"B0DC6CFFJM","OK",""
"B0DC6CRHCW","OK",""
"B0DC6CRJJY","OK",""
"B0DC6CW63X","OK",""
"B0DC6DBMSH","OK",""
"B0DC6FS9JD","NG",""
"B0DC6G3WNS","NG",""
"B0DC6GB5QC","NG",""
"B0DC6HYPXY","OK",""
"B0DC6HZY3K","OK",""
"B0DC6QNWRD","OK",""
"B0DC6S5V5K","OK",""
"B0DC9LPFL8","OK",""
"B0DCBCDW8T","OK",""
"B0DCBDDRH6","OK",""
"B0DCBDZ63B","OK",""
"B0DCBL571Z","NG",""
"B0DCCBXCQY","APPROVAL",""
"B0DCCDTKZX","APPROVAL",""
"B0DCCF2KFW","APPROVAL",""
"B0DCDG73N9","APPROVAL",""
"B0DCDRD5D6","APPROVAL",""
"B0DCDZPL1D","APPROVAL",""
"B0DCF1H4QP","APPROVAL",""
"B0DCF1SC61","APPROVAL",""
"B0DCF27L1W","APPROVAL",""
"B0DCF3M7RL","APPROVAL",""
"B0DCFNNL5B","OK",""
"B0DCFPV8BL","NG",""
"B0DCFQYX6W","NG",""
"B0DCFTJVM6","NG",""
"B0DCFTK4SR","OK",""
"B0DCFV2R1C","NG",""
"B0DCFYKNF9","OK",""
"B0DCFYMCPW","NG",""
"B0DCFYS4J3","NG",""
"B0DCG4FNLW","NG",""
"B0DCGCNR6J","OK",""
"B0DCJJN6K1","NG",""
"B0DCJJNHGC","NG",""
"B0DCJW73N2","NG",""
"B0DCJXBSZL","NG",""
"B0DCK5YVQ9","OK",""
"B0DCK7MG7T","OK",""
"B0DCK7W45W","OK",""
"B0DCK8Y6MW","OK",""
"B0DCK9LKT7","OK",""
"B0DCM5LKZ2","NG",""
"B0DCN3HLKS","APPROVAL",""
"B0DD3FV5SR","OK",""
"B0DD7XCPHM","APPROVAL",""
"B0DDKDPNY3","NG",""
"B0DDRZQFSG","OK",""
"B0DDS2RZL1","OK",""
"B0DDW9LLBH","APPROVAL",""
"B0DDXDHPGZ","OK",""
"B0DF2BFZ8H","NG",""
"B0DF4NJCWM","APPROVAL",""
"B0DF5T4G25","OK",""
"B0DF749BJN","NG",""
"B0DF74MQTZ","NG",""
"B0DF758D6G","OK",""
"B0DF7FT4XW","NG",""
"B0DFB7NQ7G","NG",""
"B0DFBCJ7Q5","NG",""
"B0DFBHXVYK","NG",""
"B0DFBJDGL6","OK",""
"B0DFBSHDZK","APPROVAL",""
"B0DFC22YFG","APPROVAL",""
"B0DFC89DN7","APPROVAL",""
"B0DFG6C8KS","NG",""
"B0DFGFFXQJ","OK",""
"B0DFGYT7GX","NG",""
"B0DFGYWLM3","NG",""
"B0DFK61Z84","OK",""
"B0DFLY2M8K","OK",""
"B0DFLYRSPM","NG",""
"B0DFLZMN8T","NG",""
"B0DFM16HNH","NG",""
"B0DFM1HYJR","NG",""
"B0DFM1RKQY","NG",""
"B0DFM2MDD2","NG",""
"B0DFM34565","NG",""
"B0DFMDZG8V","OK",""
"B0DFMS17RG","NG",""
"B0DFPPK2TV","OK",""
"B0DFQLB46Y","OK",""
"B0DFVJ8NXQ","OK",""
"B0DFWDSW66","APPROVAL",""
"B0DFWXVD2Q","NG",""
"B0DFY8Z8PD","NG",""
"B0DFZX3HFL","OK",""
"B0DG1N3QSJ","NG",""
"B0DG2PMG4R","OK",""
"B0DG4TDJNX","OK",""
"B0DG87F56Q","OK",""
"B0DG9B8K7Q","OK",""
"B0DGFZ6WR2","OK",""
"B0DGGH1GPP","OK",""
"B0DGGJ14SM","NG",""
"B0DGGKFFZ4","NG",""
"B0DGGKFPWM","NG",""
"B0DGL62YXK","NG",""
"B0DGL64875","NG",""
"B0DGL65ZVM","NG",""
"B0DGPKC9S5","OK",""
"B0DGPVJ8LG","OK",""
"B0DGSK3799","OK",""
"B0DGSLRFZG","OK",""
"B0DGSM7VPM","OK",""
"B0DGT4H51T","OK",""
"B0DGT87BS2","NG",""
"B0DGZFZXNY","NG",""
"B0DH2WHB7H","OK",""
"B0DH3NXFSL","NG",""
"B0DH3PBNZW","NG",""
"B0DH7THFFZ","NG",""
"B0DH7YKT3Z","OK",""
"B0DHCKF9LF","OK",""
"B0DHFVY3X5","NG",""
"B0DHG23KQ6","NG",""
"B0DHG38FBZ","NG",""
"B0DHJFNR4B","OK",""
"B0DHLTS5GS","OK",""
"B0DHRN6RVM","NG",""
"B0DHTZ97RG","NG",""
"B0DHTZC5BF","NG",""
"B0DHTZR541","NG",""
"B0DHTZVDCY","NG",""
"B0DHV3BLVC","NG",""
"B0DHV3M7Y6","NG",""
"B0DHX8X4R1","OK",""
"B0DHY4H1WX","OK",""
"B0DHZB4X25","NG",""
"B0DJ295HXL","OK",""
"B0DJ2CV13S","OK",""
"B0DJ2DMYT1","NG",""
"B0DJ2DRQ1C","OK",""
"B0DJ2DSYZY","OK",""
"B0DJ2FWX6N","OK",""
"B0DJ2HBQNY","OK",""
"B0DJ5SSZCB","OK",""
"B0DJ8BD527","NG",""
"B0DJ8CH3Y9","NG",""
"B0DJ8ZM5NV","OK",""
"B0DJ9VS9GX","OK",""
"B0DJD55MPD","OK",""
"B0DJD5M6N6","OK",""
"B0DJD66GBY","OK",""
"B0DJD69BVW","OK",""
"B0DJN91QQZ","NG",""
"B0DJN95B4T","NG",""
"B0DJN9M1LG","NG",""
"B0DJN9VKJY","NG",""
"B0DJQN3329","OK",""
"B0DJRHN5ZT","OK",""
"B0DJRJYTWS","OK",""
"B0DJVFRBB7","OK",""
"B0DJVJ4BZ8","NG",""
"B0DJWVCF6V","OK",""
"B0DJYFTYFT","OK",""
"B0DK2N5X7J","NG",""
"B0DK2PCT7G","NG",""
"B0DK2PNZSX","NG",""
"B0DK8SDMG7","OK",""
"B0DK8TDNLV","OK",""
"B0DK8WYGYG","OK",""
"B0DKC91THJ","OK",""
"B0DKDHBC4H","OK",""
"B0DKDWKWXG","OK",""
"B0DKPGMNKY","NG",""
"B0DKTDD9ZK","NG",""
"B0DKWYTB2B","NG",""
"B0DKX6H6TY","NG",""
"B0DKXMBD4Y","NG",""
"B0DKXPGGKW","NG",""
"B0DL4HL4D8","NG",""
"B0DL4JDXGH","NG",""
"B0DL5RJRN5","NG",""
"B0DL61TSG9","NG",""
"B0DLFD2NGJ","OK",""
"B0DLFRP953","OK",""
"B0DLFW1WN2","OK",""
"B0DLFWPVR2","OK",""
"B0DLK6Z73J","OK",""
"B0DLK8J61V","NG",""
"B0DLKHZG2R","NG",""
"B0DLKKM43L","NG",""
"B0DLKKRHBB","NG",""
"B0DLPFJBQD","OK",""
"B0DLZVNVQ1","OK",""
"B0DM1V8CRZ","OK",""
"B0DM2MJPGN","OK",""
"B0DM5ZL1FP","OK",""
"B0DM5ZLGH7","OK",""
"B0DM5ZWBJ8","OK",""
"B0DM6CC6VQ","OK",""
"B0DM9813KV","OK",""
"B0DMSFSGRZ","NG",""
"B0DMSHFGHK","NG",""
"B0DMSJPS9S","NG",""
"B0DMSKCBR1","NG",""
"B0DMSLS7S8","NG",""
"B0DMSLXXN1","NG",""
"B0DMSM3TNN","NG",""
"B0DMSSGGB1","NG",""
"B0DMSXD3TQ","NG",""
"B0DMW3ZHLZ","NG",""
"B0DMWC8VHL","APPROVAL",""
"B0DN5S3TF3","NG",""
