"ASIN","Result","Brand"
"B09MMCF77T","APPROVAL",""
"B09MMH7698","APPROVAL",""
"B09MNBHQ1G","APPROVAL",""
"B09MQCVKLF","APPROVAL",""
"B09MQFBLKX","APPROVAL",""
"B09MQFKKTR","OK",""
"B09MQG7CY4","OK",""
"B09MQGRNNL","APPROVAL",""
"B09MQJLWM1","APPROVAL",""
"B09MR4WTPK","OK",""
"B09MRB7XH5","APPROVAL",""
"B09MRBGJM6","APPROVAL",""
"B09MRFCDXM","OK",""
"B09MRJ9Z3N","OK",""
"B09MRJF2J9","OK",""
"B09MRJQ4WT","OK",""
"B09MRY2DZ7","APPROVAL",""
"B09MRYMR3P","APPROVAL",""
"B09MRYXYZ9","APPROVAL",""
"B09MS2LNVW","APPROVAL",""
"B09MS43ZBC","APPROVAL",""
"B09MS47PVV","OK",""
"B09MS58SMH","APPROVAL",""
"B09MS9DX48","APPROVAL",""
"B09MSCWFKQ","APPROVAL",""
"B09MSD6XQZ","APPROVAL",""
"B09MSDC4Y9","APPROVAL",""
"B09MSSX9LN","APPROVAL",""
"B09MSWCTVQ","APPROVAL",""
"B09MT4PL9Y","APPROVAL",""
"B09MT8Y9DH","OK",""
"B09MTST1RQ","OK",""
"B09MV7YXBJ","APPROVAL",""
"B09MVCRT8V","APPROVAL",""
"B09MVDH1TY","APPROVAL",""
"B09MVHN69V","OK",""
"B09MVJNHJW","OK",""
"B09MVQ4D19","APPROVAL",""
"B09MVQ66J1","APPROVAL",""
"B09MVQ776B","APPROVAL",""
"B09MVQFNLF","APPROVAL",""
"B09MVQQZHJ","APPROVAL",""
"B09MVT6FPV","APPROVAL",""
"B09MVW3CCQ","APPROVAL",""
"B09MVWVFHN","APPROVAL",""
"B09MVXR5N3","APPROVAL",""
"B09MVXSK3B","OK",""
"B09MVY2BPK","APPROVAL",""
"B09MVYSQJB","APPROVAL",""
"B09MVYZ6MG","APPROVAL",""
"B09MW28PSL","OK",""
"B09MW3MCWX","APPROVAL",""
"B09MW3P15D","APPROVAL",""
"B09MW3S1MW","APPROVAL",""
"B09MW4565R","APPROVAL",""
"B09MW5MPR2","APPROVAL",""
"B09MWTDMTS","OK",""
"B09MXJ4HY1","OK",""
"B09MY6XP8Q","APPROVAL",""
"B09MY9XS7F","APPROVAL",""
"B09MYGQFVD","APPROVAL",""
"B09MYMCDFP","APPROVAL",""
"B09MYWBRP6","OK",""
"B09MYXHK33","OK",""
"B09MYYCNQG","OK",""
"B09MZ2LM86","APPROVAL",""
"B09MZR4XM1","APPROVAL",""
"B09MZT8HKD","APPROVAL",""
"B09MZTY3J7","OK",""
"B09N17G8KW","OK",""
"B09N188CMC","OK",""
"B09N25RX1C","APPROVAL",""
"B09N3HJFTC","OK",""
"B09N3HZPZK","APPROVAL",""
"B09N3JWNTX","OK",""
"B09N3SFXC2","APPROVAL",""
"B09N427NYD","APPROVAL",""
"B09N42G8NS","APPROVAL",""
"B09N4398FJ","APPROVAL",""
"B09N43KTGT","APPROVAL",""
"B09N43XS2S","APPROVAL",""
"B09N44KMPB","APPROVAL",""
"B09N44SHMY","APPROVAL",""
"B09N6GY39L","OK",""
"B09N6SQ5MK","OK",""
"B09N738WLS","OK",""
"B09N75MKPY","APPROVAL",""
"B09N7BFHZH","APPROVAL",""
"B09N7BQY2G","APPROVAL",""
"B09N7BYRF2","APPROVAL",""
"B09N7VYPLW","APPROVAL",""
"B09N92B8SP","APPROVAL",""
"B09N955HJJ","APPROVAL",""
"B09N95PTDH","APPROVAL",""
"B09N96HD78","APPROVAL",""
"B09N96PQXS","APPROVAL",""
"B09N981N8B","OK",""
"B09N9V9RX3","APPROVAL",""
"B09N9W67H5","APPROVAL",""
"B09NBCKRBX","APPROVAL",""
"B09NBCL299","APPROVAL",""
"B09NBCTC31","APPROVAL",""
"B09NBCVZN4","APPROVAL",""
"B09NBCWNP1","APPROVAL",""
"B09NBD2VWF","APPROVAL",""
"B09NBD2WNV","APPROVAL",""
"B09NBM67PF","APPROVAL",""
"B09NBR2NQK","APPROVAL",""
"B09NBRCLKL","APPROVAL",""
"B09NBRLG79","APPROVAL",""
"B09NBSMQDC","APPROVAL",""
"B09NBY9NXZ","APPROVAL",""
"B09NBYR8XS","APPROVAL",""
"B09NBZN4KF","APPROVAL",""
"B09NBZQZ8P","OK",""
"B09NC1T454","APPROVAL",""
"B09NCMMSQX","APPROVAL",""
"B09ND57Y1G","APPROVAL",""
"B09ND7MCJQ","OK",""
"B09NDBWBZH","APPROVAL",""
"B09NDDBJRR","APPROVAL",""
"B09NDFBJZW","APPROVAL",""
"B09NDFJQD8","APPROVAL",""
"B09NDHB6XG","APPROVAL",""
"B09NDJ32JD","OK",""
"B09NDL2DML","APPROVAL",""
"B09NDLNCJF","APPROVAL",""
"B09NFBJZ67","OK",""
"B09NFR4S6Z","APPROVAL",""
"B09NFRQCJC","OK",""
"B09NH31WPD","OK",""
"B09NH3V8SP","OK",""
"B09NHRGGJX","APPROVAL",""
"B09NHST67R","APPROVAL",""
"B09NHWST3L","APPROVAL",""
"B09NJJNB2Y","APPROVAL",""
"B09NJL2THZ","OK",""
"B09NJYWWVF","OK",""
