"ASIN","Result","Brand"
"B0B2F3MYNS","APPROVAL",""
"B0B2F4CHT9","APPROVAL",""
"B0B2F4TSG8","APPROVAL",""
"B0B2F567FW","APPROVAL",""
"B0B2F58LSK","APPROVAL",""
"B0B2F6JPFR","APPROVAL",""
"B0B2FFHXRB","APPROVAL",""
"B0B2HSXDWJ","APPROVAL",""
"B0B2HVGHV1","APPROVAL",""
"B0B2J2K5PZ","OK",""
"B0B2J7HRRW","APPROVAL",""
"B0B2JN86P4","APPROVAL",""
"B0B2JQS265","APPROVAL",""
"B0B2JRVBXG","OK",""
"B0B2JSK6H7","OK",""
"B0B2JSLR7Y","OK",""
"B0B2JTT3MW","OK",""
"B0B2KCJNLF","APPROVAL",""
"B0B2KVFXFC","APPROVAL",""
"B0B2NNQT9F","APPROVAL",""
"B0B2NNTQNB","APPROVAL",""
"B0B2NRSPSH","APPROVAL",""
"B0B2NS5M88","APPROVAL",""
"B0B2NSG5DW","APPROVAL",""
"B0B2NYCR38","APPROVAL",""
"B0B2NZ1YCZ","APPROVAL",""
"B0B2P1NDPW","APPROVAL",""
"B0B2P1YPB8","APPROVAL",""
"B0B2P5R5XL","OK",""
"B0B2PBDCHM","APPROVAL",""
"B0B2PPFDBL","APPROVAL",""
"B0B2PX18DH","APPROVAL",""
"B0B2PX2HQ5","APPROVAL",""
"B0B2PX2SHP","APPROVAL",""
"B0B2PYTFDZ","APPROVAL",""
"B0B2QBKM71","APPROVAL",""
"B0B2QC7LNY","APPROVAL",""
"B0B2QCH5FK","APPROVAL",""
"B0B2QS4VRV","APPROVAL",""
"B0B2RHJ4HG","APPROVAL",""
"B0B2RLT8LS","APPROVAL",""
"B0B2S5K2HL","OK",""
"B0B2S7BPG3","OK",""
"B0B2SG9HRQ","OK",""
"B0B2TBJC7S","OK",""
"B0B2TSBKN9","APPROVAL",""
"B0B2V87JCL","APPROVAL",""
"B0B2WLV4FP","APPROVAL",""
"B0B2WRF6T2","OK",""
"B0B2X13MKD","APPROVAL",""
"B0B2X25CSP","OK",""
"B0B2X2JDCL","APPROVAL",""
"B0B2X4DP5C","APPROVAL",""
"B0B2YTZBV8","OK",""
"B0B2YW7TW3","OK",""
"B0B2Z34S92","APPROVAL",""
"B0B2Z81F5L","APPROVAL",""
"B0B2ZWHW1Y","APPROVAL",""
"B0B317NDP2","OK",""
"B0B3185N5F","APPROVAL",""
"B0B318955L","APPROVAL",""
"B0B318VCJ2","APPROVAL",""
"B0B319FPTC","APPROVAL",""
"B0B319NCX6","APPROVAL",""
"B0B319QBFH","APPROVAL",""
"B0B319SQ77","APPROVAL",""
"B0B31B7YSD","APPROVAL",""
"B0B31B9H8P","APPROVAL",""
"B0B31BJBY2","APPROVAL",""
"B0B31BLMRX","APPROVAL",""
"B0B31BMBP5","APPROVAL",""
"B0B31BP45C","APPROVAL",""
"B0B31BQDLK","APPROVAL",""
"B0B31BRVRT","APPROVAL",""
"B0B31BV116","APPROVAL",""
"B0B31CB52V","APPROVAL",""
"B0B31CHHWF","APPROVAL",""
"B0B31CNMWT","APPROVAL",""
"B0B31CVFDH","APPROVAL",""
"B0B31CX1V6","APPROVAL",""
"B0B31CZN2R","APPROVAL",""
"B0B31DBR9K","APPROVAL",""
"B0B31DBX6F","APPROVAL",""
"B0B31DCCDQ","APPROVAL",""
"B0B31DKW2X","APPROVAL",""
"B0B31F5M7Y","APPROVAL",""
"B0B31FJ4G4","APPROVAL",""
"B0B31GV17R","APPROVAL",""
"B0B31JC2SC","APPROVAL",""
"B0B31JMV4B","APPROVAL",""
"B0B31KB84T","APPROVAL",""
"B0B31LVXW9","APPROVAL",""
"B0B31XB6X7","APPROVAL",""
"B0B31Z37T6","OK",""
"B0B341YTCX","OK",""
"B0B344WSHV","APPROVAL",""
"B0B3472H1P","OK",""
"B0B34FQNCF","OK",""
"B0B34GHQNB","APPROVAL",""
"B0B34H186S","APPROVAL",""
